"workerid","likely_info","trial_type","confidence","prompt","personOrder","person","question","unlikely_person","unlikely_info","item","likely_person","rt","response","condition"
0,"<strong>Misty Meadows</strong>, she knows, always has wifi working.","truthJudge",0.39,"Claire is having a hard time remembering which library her uncle always goes to. She knows it is either Rolling Springs or Misty Meadows Public Library.","unlikely-likely","Misty Meadows","Which library does Claire&quotechars uncle always go to?","Rolling Springs","<strong>Rolling Springs</strong>, she knows, only occasionally has wifi working.","library_wifi","Misty Meadows",24267,"likely-key","prior"
0,"<strong>The baristas at Epi Coffee</strong>, she knows, always do latte art.","truthJudge",0.36,"Julia is having a hard time remembering where her brother always goes for coffee. She knows it is either Cafe Vita or Epi Coffee.","unlikely-likely","Cafe Vita","Where does Julia&quotechars brother go for coffee?","Cafe Vita","<strong>The baristas at Cafe Vita</strong>, she knows, only occasionally do latte art.","latte_art","Epi Coffee",37393,"unlikely-key","pragmatic"
0,"<strong>Ilana</strong>, he knows, turns in her rent on time every month.","truthJudge",0.48,"Don is having a hard time remembering who his friend has been subletting to for the past year. He knows it is either Ilana or Nora.","unlikely-likely","Ilana","Who is his friend&quotechars tenant?","Nora","<strong>Nora</strong>, he knows, only occasionally turns in her rent on time.","tenant_rentcheck","Ilana",19980,"likely-key","speakermanipulation"
0,"<strong>Final Touch</strong>, he knows, always washes the tires.","truthJudge",0.43,"Gerard is having a hard time remembering where his friend goes for a car wash every Friday morning. He knows it is either Final Touch Car Wash or Magic Hands Car Wash.","unlikely-likely","Magic Hands","Where does Gerard&quotechars friend go for a wash car every Friday morning?","Magic Hands","<strong>Magic Hands</strong>, he knows, only occasionally washes the tires.","carwash_wheels","Final Touch",10897,"unlikely-key","prior"
0,"<strong>Viva Roma</strong>, she knows, always serves breadsticks with dinner.","truthJudge",0.49,"Kim is having a hard time remembering where her roommates always go for Italian food. She knows it is either Italian Garden or Viva Roma.","unlikely-likely","Italian Garden","Where do Kim&quotechars roommates always go for Italian food?","Italian Garden","<strong>Italian Garden</strong>, she knows, only occasionally serves breadsticks with dinner.","italian_bread","Viva Roma",30277,"unlikely-key","speakermanipulation"
0,"<strong>Pump Gym</strong>, she knows, always has clean towels.","truthJudge",0.64,"Katie is having a hard time remembering which gym her friend always goes to. She knows it is either Pump Gym or Core Fitness.","unlikely-likely","Pump Gym","Which gym does her friend always go to?","Core Fitness","<strong>Core Fitness</strong>, she knows, only occasionally has clean towels.","gym_towels","Pump Gym",14061,"likely-key","pragmatic"
0,"<strong>Tom</strong>, she knows, always turns in his homework on time.","truthJudge",0.62,"Molly is having a hard time remembering which student her officemate is tutoring. She knows it is either Tom or Jim.","unlikely-likely","Tom","Who is her officemate&quotechars student?","Jim","<strong>Jim</strong>, she knows, only occasionally turns in his homework on time.","tutor_homework","Tom",6670,"likely-key","literal"
0,"<strong>Maid By Me</strong>, he knows, always dusts the windows.","truthJudge",0.4,"Henry is having a hard time remembering which weekly cleaning service his friend&quotechars maid works for. He knows it is either Maid By Me or Sunflowers Maid Service.","unlikely-likely","Sunflowers Maid Service","What cleaning service does his friend&quotechars maid work for?","Sunflowers Maid Service","<strong>Sunflowers Maid Service</strong>, he knows, only occasionally dusts the windows.","maid_dusting","Maid By Me",8699,"unlikely-key","pragmatic"
0,"<strong>Ms. Clancy</strong>, she knows, has a musical lesson every day.","truthJudge",0.44,"Sally is having a hard time remembering who her nephew Billy -- her sister&quotechars son -- has for his elementary school teacher. She knows it is either Ms. Clancy or Ms. Johnson.","unlikely-likely","Ms. Johnson","Who is Billy&quotechars teacher?","Ms. Johnson","<strong>Ms. Johnson</strong>, she knows, has a musical lesson only occasionally.","teacher_music","Ms. Clancy",17223,"unlikely-key","prior"
0,"<strong>Kraft Arts</strong>, he knows, always has oil paints in stock.","truthJudge",0.47,"Mark is having a hard time remembering which art supplies store his roommates always go to. He knows it is either Kraft Arts or the Expression Studio.","unlikely-likely","Kraft Arts","Which art supplies store does Mark&quotechars roommate always go to?","Expression Studio","<strong>Expression Studio</strong>, he knows, only occasionally has oil paints in stock.","artstore_carries","Kraft Arts",33022,"likely-key","prior"
