"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"english",0,"Male",25,"i accidentally hit next and not the options on the right twice.","","Yes","1",2
1,"English",1,"Male",33,"","","Yes","1",4
2,"English",1,"Male",30,"No.","","Confused","0.5",2
3,"english",1,"Male",31,"no","","Yes","0.8",3
4,"english",0,"Male",36,"no","no","Yes","0.8",3
5,"English",0,"Female",38,"No problems.","Thank you! I wish you well with your research!
","Yes","0.8",2
6,"english",1,"Male",30,"no","","Yes","0.5",3
7,"English",0,"Male",29,"No.","","Yes","0.8",1
8,"English ",-1,"Female",52,"I think something wasn&quotechart right ","","Confused","0.8",1
9,"english",1,"Male",20,"no","","Yes","1.00",2
10,"English",1,"Male",23,"","","Yes",".70",2
11,"english",1,"Female",28,"no","","Yes","yes",3
12,"english",1,"Male",NA,"no","","Yes",".80",2
13,"english",0,"Male",60,"no","","Yes","$1",3
14,"english",0,"Female",35,"no","no","Yes","1.00",3
15,"english",1,"Female",29,"none","","Yes","0.80",1
16,"english",1,"Female",28,"","thank you :) I love your HITs!","Yes","1.00",3
17,"English",0,"Female",43,"no","","Yes","0.80",2
18,"English",1,"Female",41,"no","","Yes","$.90",2
19,"English",0,"Female",25,"no","","Yes","$1",2
20,"English",1,"Male",27,"Had no issues/problems.","","Yes","0.80",3
21,"American English",0,"Male",33,"No.","","Yes","$0.80",1
22,"english",1,"Male",29,"no","","Yes",".80",3
23,"English",0,"Male",39,"no","","Yes","2.50",1
24,"english",0,"Male",31,"","","No","1.50",2
25,"English",0,"Male",58,"No.","","Yes","1.00",3
26,"English",0,"Male",27,"","Not sure whether I was supposed to be thinking about typical in the sense of average or in the sense of who is at the median, but maybe that&quotechars what this is about.","Yes","0.90",3
27,"english",0,"Male",25,"no","","Yes","0.80",1
28,"English",1,"Female",25,"No, the experiment ran very well.","I found this interesting and difficult to rate the less typical behaviors such as stealing a car.","Yes","$.80",3
29,"english",0,"Female",29,"no","","Yes",".8",2
