"past","key","val"
"ate meat","log_q3rate",-0.336472236621213
"paid their taxes","log_q3rate",-5.89989735358249
"drank lemonade","log_q3rate",-3.40119738166216
"drank coffee","log_q3rate",0.693147180559945
"went to a Renaissance fair","log_q3rate",-5.20675017302255
"wore shoes","log_q3rate",-0.154150679827258
"ate pasta","log_q3rate",-1.09861228866811
"ate breakfast","log_q3rate",0
"went outside","log_q3rate",1.6094379124341
"changed their bedsheets","log_q3rate",-1.94591014905531
"bought their own groceries","log_q3rate",-1.94591014905531
"wore tie-dye","log_q3rate",-5.89989735358249
"wore a shirt","log_q3rate",0
"exercised","log_q3rate",0
"drove a car","log_q3rate",0.693147180559945
"took dance lessons","log_q3rate",-1.94591014905531
"took a vacation","log_q3rate",-5.89989735358249
"went skiing","log_q3rate",-5.89989735358249
"used a cell phone","log_q3rate",1.6094379124341
"wore glasses","log_q3rate",0
"wore a hat","log_q3rate",0
"washed their hair","log_q3rate",-0.559615787935423
"washed their dishes","log_q3rate",0
"had a birthday party","log_q3rate",-5.89989735358249
"went on a hike","log_q3rate",-3.40119738166216
"had a birthday party","log_q3rate",-5.89989735358249
"wore a shirt","log_q3rate",0
"paid their taxes","log_q3rate",-5.89989735358249
"went skiing","log_q3rate",-4.80128506491438
"exercised","log_q3rate",-0.847297860387204
"bought their own groceries","log_q3rate",-1.25276296849537
"wore glasses","log_q3rate",0
"ate meat","log_q3rate",-0.154150679827258
"drank coffee","log_q3rate",0
"wore a hat","log_q3rate",-0.847297860387204
"washed their hair","log_q3rate",-0.336472236621213
"wore shoes","log_q3rate",0
"ate breakfast","log_q3rate",-0.154150679827258
"took a vacation","log_q3rate",-5.89989735358249
"went to a Renaissance fair","log_q3rate",-5.89989735358249
"changed their bedsheets","log_q3rate",-1.94591014905531
"took dance lessons","log_q3rate",-1.94591014905531
"went outside","log_q3rate",0
"used a cell phone","log_q3rate",2.30258509299405
"washed their dishes","log_q3rate",0.693147180559945
"drank lemonade","log_q3rate",-3.40119738166216
"ate pasta","log_q3rate",-1.25276296849537
"went on a hike","log_q3rate",-2.70805020110221
"drove a car","log_q3rate",0.693147180559945
"wore tie-dye","log_q3rate",-1.94591014905531
"paid their taxes","log_q3rate",-5.89989735358249
"ate pasta","log_q3rate",-1.94591014905531
"drove a car","log_q3rate",0
"changed their bedsheets","log_q3rate",-1.94591014905531
"washed their hair","log_q3rate",0
"went on a hike","log_q3rate",-3.40119738166216
"took a vacation","log_q3rate",-5.89989735358249
"wore a hat","log_q3rate",0
"drank lemonade","log_q3rate",-1.94591014905531
"had a birthday party","log_q3rate",-5.89989735358249
"wore shoes","log_q3rate",0
"ate breakfast","log_q3rate",0
"exercised","log_q3rate",-0.559615787935423
"ate meat","log_q3rate",-0.847297860387204
"washed their dishes","log_q3rate",-0.847297860387204
"drank coffee","log_q3rate",-0.559615787935423
"wore a shirt","log_q3rate",0
"wore glasses","log_q3rate",0
"went outside","log_q3rate",0
"used a cell phone","log_q3rate",2.99573227355399
"took dance lessons","log_q3rate",-3.40119738166216
"wore tie-dye","log_q3rate",-1.94591014905531
"bought their own groceries","log_q3rate",-1.94591014905531
"went to a Renaissance fair","log_q3rate",-5.89989735358249
"went skiing","log_q3rate",-5.89989735358249
"ate pasta","log_q3rate",-0.559615787935423
"wore shoes","log_q3rate",1.09861228866811
"used a cell phone","log_q3rate",2.30258509299405
"bought their own groceries","log_q3rate",-1.25276296849537
"went skiing","log_q3rate",-5.20675017302255
"wore glasses","log_q3rate",2.30258509299405
"wore a shirt","log_q3rate",0.693147180559945
"went to a Renaissance fair","log_q3rate",-5.89989735358249
"exercised","log_q3rate",-0.182321556793955
"ate breakfast","log_q3rate",0
"paid their taxes","log_q3rate",-5.89989735358249
"had a birthday party","log_q3rate",-5.89989735358249
"washed their dishes","log_q3rate",0.693147180559945
"took a vacation","log_q3rate",-5.89989735358249
"went on a hike","log_q3rate",-4.80128506491438
"changed their bedsheets","log_q3rate",-1.94591014905531
"took dance lessons","log_q3rate",-3.59731226058845
"went outside","log_q3rate",1.79175946922805
"drove a car","log_q3rate",0.693147180559945
"wore tie-dye","log_q3rate",-1.25276296849537
